,dt,weekday,year,id_driver,id_carrier_number,dim_carrier_type,dim_carrier_company_name,home_base_city,home_base_state,carrier_trucks,num_trucks,interested_in_drayage,port_qualified,signup_source,ts_signup,ts_first_approved,days_signup_to_approval,driver_with_twic,dim_preferred_lanes,first_load_date,load_day,loads,marketplace_loads_otr,marketplace_loads_atlas,marketplace_loads,brokerage_loads_otr,brokerage_loads_atlas,brokerage_loads
83414,2019-09-30,Monday,2019,15857,C0093467,Fleet,AA Logistics Group Inc,Los Angeles,CA,"[""dryvan""]",2.0,not specified,no,Other,2018-11-01 15:34:39+00:00,2019-07-05 20:41:13+00:00,246.0,no,,2018-11-05,2019-09-30,1,14,0,14,168,0,168
83415,2019-10-24,Thursday,2019,28620,C0096509,Fleet,OnDemand Trans,Riverside,CA,"[""dryvan""]",12.0,yes,no,Other,2019-09-20 20:42:42+00:00,2019-09-20 20:44:41+00:00,0.0,no,,2019-09-21,2019-10-24,1,13,5,18,34,0,34
83416,2019-09-03,Tuesday,2019,10694,U0099535,Owner Operator,Palencia trucking ,Chino,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-03-27 21:06:08+00:00,2019-01-16 20:44:49+00:00,294.0,yes,,2018-04-23,2019-09-03,1,53,0,53,21,0,21
83417,2019-08-07,Wednesday,2019,12198,C0092401,Fleet,Mar Vend Co Inc.,Carson,CA,"[""dryvan""]",4.0,yes,no,Other,2018-06-13 23:34:21+00:00,2019-08-16 20:08:52+00:00,428.0,no,California (Central)->Oregon (East)|California (Central)->Oregon (West)|California (Central)->Arizona|California (Central)->Washington,2018-08-09,2019-08-07,6,69,38,107,18,0,18
83418,2018-10-31,Wednesday,2018,13222,C0092700,Fleet,FLY TRANSPORTATION INC,Monterey Park,CA,"[""dryvan""]",2.0,yes,no,Other,2018-08-06 16:19:15+00:00,,,no,,2018-08-08,2018-10-31,3,0,0,0,64,0,64
83419,2021-01-07,Thursday,2021,34483,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2020-05-14,2021-01-07,2,0,0,0,0,0,0
83420,2019-11-06,Wednesday,2019,27422,C0095443,Fleet,White Rhino INC.,Lynwood,CA,"[""poweronly""]",6.0,not specified,yes,Mobile,2019-05-24 05:22:06+00:00,2019-07-12 21:56:48+00:00,49.0,yes,,2019-08-26,2019-11-06,3,24,211,235,5,2,7
83421,2019-11-16,Saturday,2019,21949,U0109611,Owner Operator,Reatiga Trucking Inc,Ontario,CA,"[""boxtruck""]",1.0,not specified,no,Mobile,2019-04-24 02:39:15+00:00,2019-07-12 17:12:12+00:00,79.0,no,,2019-07-20,2019-11-16,2,0,0,0,77,0,77
83422,2021-01-30,Saturday,2021,37461,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2021-01-06,2021-01-30,4,0,0,0,0,0,0
83423,2020-09-21,Monday,2020,33100,U0120128,Owner Operator,Munoz&sontrucking inc,Pinon Hills,CA,"[""poweronly""]",1.0,not specified,no,Mobile,2020-02-06 18:01:20+00:00,2020-02-06 18:45:04+00:00,0.0,no,,2020-02-13,2020-09-21,1,10,0,10,1,0,1
83424,2020-07-23,Thursday,2020,3851,U0093691,Owner Operator,pappy's trucking,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Other,2016-10-27 21:09:06+00:00,2019-07-01 15:22:08+00:00,976.0,no,,2017-06-27,2020-07-23,1,286,4,290,226,0,226
